I0,I1,I2,I3,I4,I5
-0.546456,-0.546872,0.256411,0.000000,-0.080586,0.001716
-0.545034,-0.546488,0.315018,58.607098,-0.075702,0.005867
-0.543600,-0.546104,0.300365,-14.652251,-0.070818,0.010071
-0.542154,-0.546104,0.315018,14.652251,-0.065934,0.015874
-0.540696,-0.545721,0.300365,-14.652251,-0.061050,0.020154
-0.539226,-0.545338,0.300365,0.000000,-0.056166,0.024502
-0.537744,-0.544954,0.329670,29.304502,-0.056166,0.028897
-0.536250,-0.544188,0.373627,43.956753,-0.046398,0.031787
-0.534744,-0.543804,0.373627,0.000000,-0.046398,0.036297
-0.533226,-0.543420,0.388279,14.652251,-0.046398,0.040832
-0.531696,-0.542653,0.446886,58.607098,-0.036630,0.043867
-0.530154,-0.542270,0.446886,0.000000,-0.036630,0.048521
-0.528600,-0.541886,0.446886,0.000000,-0.031746,0.053204
-0.527034,-0.541503,0.432234,-14.652251,-0.021978,0.057935
-0.525456,-0.541120,0.432234,0.000000,-0.021978,0.062715
-0.523866,-0.540736,0.432234,0.000000,-0.021978,0.067542
-0.522264,-0.539968,0.461538,29.304502,-0.017094,0.070860
-0.520650,-0.539202,0.505495,43.956753,-0.012210,0.074250
-0.519024,-0.538818,0.490843,-14.652251,-0.012210,0.079240
-0.517386,-0.538435,0.520147,29.304502,-0.002442,0.084259
-0.515736,-0.537285,0.534798,14.650344,-0.002442,0.086221
-0.514074,-0.536901,0.534798,0.000000,-0.002442,0.091371
-0.512400,-0.536134,0.578754,43.956753,0.002442,0.094981
-0.510714,-0.535750,0.578754,0.000000,0.002442,0.100211
-0.509016,-0.534984,0.622711,43.956753,0.002442,0.103918
-0.507306,-0.534217,0.637363,14.652251,0.007326,0.107691
-0.505584,-0.533449,0.652014,14.650344,0.007326,0.111509
-0.503850,-0.532682,0.622711,-29.302595,0.007326,0.115379
-0.502104,-0.531916,0.681318,58.607098,0.012210,0.119296
-0.500346,-0.531149,0.710623,29.304502,0.012210,0.123262
-0.498576,-0.530381,0.695971,-14.652251,0.017094,0.127272
-0.496794,-0.529614,0.710623,14.652251,0.021978,0.131333
-0.495000,-0.528848,0.739927,29.304502,0.021978,0.135443
-0.493200,-0.527697,0.798534,58.607098,0.031746,0.138020
-0.491400,-0.526930,0.798534,0.000000,0.031746,0.142172
-0.489600,-0.526163,0.813187,14.652251,0.036630,0.146305
-0.487800,-0.525396,0.827839,14.652251,0.051282,0.150438
-0.486000,-0.524245,0.827839,0.000000,0.051282,0.153014
-0.484200,-0.523479,0.842491,14.652251,0.056166,0.157167
-0.482400,-0.522328,0.901098,58.607098,0.061050,0.159747
-0.480600,-0.521177,0.901098,0.000000,0.061050,0.162343
-0.478800,-0.520027,0.930403,29.304502,0.061050,0.164942
-0.477000,-0.518877,0.974360,43.956753,0.061050,0.167542
-0.475200,-0.516959,1.062271,87.911598,0.070818,0.167032
-0.473400,-0.516576,1.062271,0.000000,0.070818,0.172775
-0.471600,-0.515041,1.091576,29.304502,0.070818,0.173780
-0.469800,-0.513124,1.164835,73.259354,0.075702,0.173293
-0.468000,-0.512357,1.164835,0.000000,0.075702,0.177480
-0.466200,-0.511207,1.223444,58.609005,0.080586,0.180060
-0.464400,-0.508522,1.311356,87.911598,0.085470,0.176445
-0.462600,-0.507755,1.311356,0.000000,0.085470,0.180674
-0.460800,-0.506605,1.340660,29.304502,0.090354,0.183254
-0.459000,-0.505071,1.369963,29.302595,0.095238,0.184297
-0.457200,-0.503537,1.413919,43.956753,0.100122,0.185363
-0.455400,-0.502003,1.443224,29.304502,0.109890,0.186425
-0.453600,-0.499701,1.457876,14.652251,0.134310,0.184382
-0.451800,-0.498935,1.457876,0.000000,0.134310,0.188592
-0.450000,-0.497401,1.457876,0.000000,0.139194,0.189620
-0.448200,-0.495867,1.472527,14.650344,0.144078,0.190682
-0.446400,-0.494333,1.472527,0.000000,0.148962,0.191748
-0.444600,-0.492799,1.501831,29.304502,0.148962,0.192810
-0.442800,-0.491265,1.501831,0.000000,0.153846,0.193876
-0.441000,-0.489347,1.501831,0.000000,0.148962,0.193385
-0.439200,-0.487814,1.545788,43.956753,0.144078,0.194470
-0.437400,-0.486279,1.575092,29.304502,0.144078,0.195533
-0.435600,-0.484361,1.619047,43.954845,0.144078,0.195038
-0.433800,-0.482444,1.633699,14.652251,0.144078,0.194571
-0.432000,-0.480909,1.692308,58.609005,0.144078,0.195652
-0.430200,-0.478992,1.692308,0.000000,0.144078,0.195166
-0.428400,-0.477075,1.706959,14.650344,0.148962,0.194694
-0.426600,-0.475157,1.721611,14.652251,0.153846,0.194223
-0.424800,-0.473240,1.750916,29.304502,0.158731,0.193755
-0.423000,-0.471705,1.765568,14.652251,0.158731,0.194837
-0.421200,-0.469789,1.750916,-14.652251,0.163614,0.194350
-0.419400,-0.467871,1.765568,14.652251,0.163614,0.193878
-0.417600,-0.465953,1.794872,29.304502,0.163614,0.193407
-0.415800,-0.464036,1.809525,14.652251,0.153846,0.192940
-0.414000,-0.462118,1.824175,14.650344,0.148962,0.192468
-0.412200,-0.459817,1.868132,43.956753,0.144078,0.190444
-0.410400,-0.457900,1.912088,43.956753,0.139194,0.189996
-0.408600,-0.455599,1.970695,58.607098,0.139194,0.187972
-0.406800,-0.453682,2.014652,43.956753,0.134310,0.187524
-0.405000,-0.450997,2.043957,29.304502,0.134310,0.183947
-0.403200,-0.449080,2.102566,58.609005,0.134310,0.183514
-0.401400,-0.446778,2.117218,14.652251,0.139194,0.181490
-0.399600,-0.444478,2.131866,14.648437,0.144078,0.179489
-0.397800,-0.442177,2.161171,29.304502,0.139194,0.177484
-0.396000,-0.439876,2.205128,43.956753,0.139194,0.175479
-0.394200,-0.437191,2.234432,29.304502,0.134310,0.171922
-0.392400,-0.434890,2.263737,29.304502,0.129426,0.169936
-0.390600,-0.432590,2.278389,14.652251,0.129426,0.167935
-0.388800,-0.429905,2.307693,29.304502,0.129426,0.164377
-0.387000,-0.427604,2.336998,29.304502,0.124542,0.162392
-0.385200,-0.424919,2.380951,43.952938,0.124542,0.158834
-0.383400,-0.422235,2.410255,29.304502,0.129426,0.155296
-0.381600,-0.419933,2.468864,58.609005,0.129426,0.153310
-0.379800,-0.417249,2.468864,0.000000,0.129426,0.149752
-0.378000,-0.414948,2.483517,14.652251,0.129426,0.147767
-0.376200,-0.412263,2.483517,0.000000,0.129426,0.144209
-0.374400,-0.408428,2.498169,14.652251,0.129426,0.136013
-0.372600,-0.406894,2.498169,0.000000,0.129426,0.137190
-0.370800,-0.404210,2.542126,43.956753,0.119658,0.133598
-0.369000,-0.401909,2.556778,14.652251,0.124542,0.131612
-0.367200,-0.398841,2.586082,29.304502,0.124542,0.126502
-0.365400,-0.396156,2.659340,73.257446,0.114774,0.122983
-0.363599,-0.393088,2.659340,0.000000,0.114774,0.117892
-0.361799,-0.390404,2.673992,14.652251,0.114774,0.114373
-0.359999,-0.386186,2.688644,14.652251,0.105006,0.104624
-0.358199,-0.383501,2.703297,14.652251,0.100122,0.101162
-0.356399,-0.380816,2.747253,43.956753,0.100122,0.097624
-0.354599,-0.377365,2.805862,58.609005,0.100122,0.090980
-0.352799,-0.376214,2.805862,0.000000,0.100122,0.093691
